M1,beta,theta_c
1.0009854114198755,88.20286835177583,1.4899861306979165
1.0015139539932645,87.77341701909384,1.845240538093529
1.0020679264063932,87.39892745801379,2.154782991642274
1.0026485521685529,87.05773312304207,2.4366316165506436
1.003257113655901,86.73880204740367,2.6999690132662213
1.0038949549437313,86.43561680691037,2.9502262854122474
1.0045634847750124,86.14394705053607,3.1909345500548643
1.0052641796717523,85.86086031699325,3.424547050273625
1.0059985871960606,85.58422191975225,3.652856140842492
1.00676832936811,85.31241764488162,3.8772220793695817
1.0075751062485478,85.04418893988782,4.098711792902793
1.0084206996932672,84.77852949981195,4.318184410756991
1.0093069772888326,84.51461748765813,4.536347481581902
1.0102358964772515,84.25176949336023,4.753796402359631
1.011209508879202,83.9894083126971,4.971040279755473
1.012229964825262,83.72703982454706,5.1885224399592875
1.0132995181051536,83.46423603937502,5.406633464915946
1.0144205309454866,83.2006224438181,5.625723514519168
1.0155954792269954,82.93586840531633,5.846109543918729
1.0168269579527973,82.6696798014308,6.068081391566476
1.0181176869797424,82.40179329624063,6.291908410233491
1.019470517025518,82.13197185707895,6.517841128786816
1.0208884359647747,81.86000122003047,6.746117038481043
1.0223745754281763,81.58568709152878,6.9769609663625785
1.0239322177189534,81.30885292933495,7.210589158297294
1.0255648030622313,81.02933818571138,7.4472101866217
1.0272759372031495,80.74699692380685,7.687025626766255
1.0290693993705462,80.46169674002613,7.930233887220106
1.0309491506238042,80.17331793985805,8.177028119905739
1.0329193426012877,79.88175292694754,8.427599953806158
1.0349843266896945,79.58690577395713,8.682138994888108
1.037148663634574,79.28869195018747,8.940832970252442
1.0394171336132383,78.98703818669672,9.203870330341678
1.041794746792312,78.68188246363118,9.471438068519873
1.0442867543932386,78.37317410722451,9.743725060935278
1.0468986602901829,78.06087398734428,10.020920186624032
1.0496362331659463,77.74495480762312,10.303213969592859
1.0525055192527397,77.42540148264408,10.590799125729681
1.055512855685955,77.10221159699117,10.883868548083166
1.05866488450043,76.77539594310852,11.182619353339543
1.0619685673001151,76.44497913484473,11.487249216014991
1.0654312006335462,76.11100029448889,11.79795898515722
1.0690604321090769,75.77351381187779,12.11495280551783
1.0728642772854684,75.4325901739398,12.438435339053989
1.0768511373751353,75.08831686379357,12.768616598441277
1.0810298177991522,74.74079932818906,13.105707292426292
1.0854095476349994,74.39016201241286,13.44992169463769
1.09,74.03654946136928,13.80147688458413
1.1,73.31090841355864,14.537965864278595
1.12,72.01652303658554,15.909514024175529
1.14,70.89303784601893,17.172729422391864
1.16,69.90785895459767,18.34991383698193
1.18,69.03788299327431,19.456426513099355
1.2,68.26593737250403,20.50338837840196
1.23,67.26363152600084,21.979958316016802
1.26,66.41876078250846,23.361856534165806
1.29,65.70610333029447,24.664096952855196
1.32,65.10616647602012,25.897889066711386
1.35,64.60340217152205,27.07186842850334
1.38,64.1850926410393,28.192817387268224
1.41,63.84062246487299,29.266187807642996
1.44,63.560985394914255,30.296402921726365
1.47,63.338439794270506,31.28711118412612
1.5,63.16626139323694,32.24136000830603
1.6,62.885516472893556,35.189045972261056
1.7,62.93487983157088,37.82720571845035
1.8,63.19865461047737,40.202025835600594
1.9,63.597326225265704,42.347321125945854
2.0,64.07633017043793,44.29017355748779
2.5,66.7312566960977,51.67524863286966
3.0,68.99076775334738,56.46024026408412
3.5,70.70777709183014,59.72023286662897
4.0,71.99861451518132,62.03672563001003
4.5,72.97979088835324,63.7396074353393
5.0,73.73748484452763,65.02644010931759
10.0,76.56348365864267,69.65835236330344
100.0,77.67814019662559,71.42874684909646
10000.0,77.69001014789376,71.44746026038938
